check_ssl,qty_redirects,url_shortened,favicon,dns_record,iFrame,rightClick,onmouseover,check_URL_of_anchor,sfh,double_slash,qty_dot_url,qty_hyphen_url,qty_questionmark_url,qty_at_url,qty_hashtag_url,qty_dollar_url,qty_percent_url,TLD_length,TLD count,URL_length,email_in_url,word_script_in_url,check_https_in_url,qty_dot_domain,qty_hyphen_domain,count_vowels,Domain_length,Ip_in_domain,Client_or_Server_in_domain,check_age_of_domain,days_till_expiration_domain,qty_dot_directory,qty_hyphen_directory,qty_at_directory,qty_slash_directory,qty_percent_directory,directory_length,qty_dot_File,qty_hyphen_File,qty_at_File,qty_percent_File,File_length,qty_dot_params,qty_hyphen_params,qty_at_params,qty_underline_params,qty_hashtag_params,qty_dollar_params,qty_percent_params,params_length,tld_params,count_params,cookie,strict_trans_sec,a_tags_count,form_tags_count,email_tags_count,pass_tags_count,hidden_tags_count,actions_tags_count,signin_tags_count,signup_tags_count,phishing
0,0,1,0,0,0,0,0,0,0,-1.0,0,0,3,0,0,0,0,0,1,2,1,108,0,0,1,2,0,1,10,0,0,0,308,0,0,0,6,0,59,1,0,0,1,30,0,0,0,0,0,0,0,0,0,0,1,1,258,2,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,1.0,0,0,3,0,1,0,0,0,0,3,1,72,0,0,0,2,0,3,12,0,0,0,140,0,0,0,2,0,22,1,0,0,0,22,0,0,0,0,0,0,0,7,0,1,1,0,1,0,0,0,0,0,0,0,0
2,2,1,2,1,0,0,0,0,0,-1.0,0,0,2,2,0,0,0,0,0,3,1,44,0,0,1,2,0,3,12,0,0,0,70,0,0,0,1,0,7,0,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,52,1,0,0,0,1,0,1,0
3,3,1,0,1,0,0,0,0,0,-1.0,0,0,1,4,0,0,0,0,0,3,1,58,0,0,1,1,0,4,14,0,0,6086,106,0,0,0,2,0,11,0,4,0,0,24,0,0,0,0,0,0,0,0,0,0,1,1,268,3,16,16,1,0,0,1,0
4,4,1,0,0,0,0,0,0,0,0.1568627450980392,0,0,2,6,0,0,0,0,0,3,1,95,0,0,1,2,0,5,15,0,0,4426,73,0,6,0,4,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,204,2,1,0,0,3,0,1,0
5,5,1,0,0,1,0,0,0,0,0.2045454545454545,0,0,2,14,0,0,0,0,0,3,1,124,0,0,1,2,0,5,18,0,0,0,40,0,14,0,1,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,88,3,4,0,3,6,0,0,0
6,6,1,0,0,0,0,0,0,0,0.0,0,0,2,0,1,0,0,0,0,2,1,54,0,0,1,1,0,3,12,0,0,0,317,0,0,0,2,0,7,1,0,0,0,18,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
7,7,1,0,0,0,0,0,0,0,1.0,0,0,3,1,0,0,0,0,0,3,1,55,0,0,1,2,1,11,36,0,0,0,107,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1
8,8,1,0,0,0,0,0,0,0,0.074074074074074,0,0,3,1,0,0,0,0,0,3,1,59,0,0,0,2,0,3,12,0,0,0,62,1,1,0,5,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,81,1,1,0,0,0,0,1,0
9,9,1,1,0,0,0,0,0,0,0.0,0,0,3,0,0,0,0,0,0,3,1,60,0,0,0,2,0,6,25,0,0,0,119,0,0,0,0,0,0,1,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,1,0,0,0,0,0,0,0,0.0,0,0,2,3,0,0,0,0,0,3,1,52,0,0,1,2,0,3,12,0,0,0,188,0,0,0,0,0,0,0,3,0,0,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,11,1,0,0,0,0,0,0,0,1.0,0,1,5,1,1,0,0,0,0,2,1,105,0,0,1,1,0,2,7,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,88,1,1,0,1,1,0,0,0,0,0,0,0,1
12,12,1,0,0,0,0,0,0,0,0.0,0,0,1,3,0,0,0,0,0,3,1,54,0,0,1,1,0,4,13,0,0,0,140,0,3,0,2,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,52,1,1,0,1,1,0,0,0
13,13,1,0,0,0,0,0,0,0,0.0287206266318537,0,0,3,3,0,0,0,0,0,2,1,88,0,0,1,2,1,3,16,0,0,0,330,0,1,0,3,0,46,1,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,383,1,1,0,1,0,0,0,0
14,14,1,0,1,0,0,0,0,0,0.0,0,0,4,0,0,0,0,0,0,6,2,56,0,0,1,3,0,1,14,0,0,0,350,0,0,0,2,0,20,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
15,15,1,0,0,0,0,0,0,0,1.0,0,0,2,0,0,0,0,0,0,3,1,32,0,0,0,2,0,5,25,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1
16,16,1,0,0,0,0,0,0,0,0.0,0,0,1,4,0,0,0,0,0,3,1,61,0,0,1,1,0,4,13,0,0,0,144,0,4,0,2,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
